"Lab","Country","days_since_positive","mean_val","num_patients","stdev_val"
"alanine aminotransferase (ALT)","ALL",0,48.4280776481252,"3211",90.2488495614195
"alanine aminotransferase (ALT)","France",0,40.5420166880616,"779",46.7248184035443
"alanine aminotransferase (ALT)","Germany",0,51.7533333333333,"100",53.7986572371621
"alanine aminotransferase (ALT)","Italy",0,57.4336712526068,"1381",122.989692421433
"alanine aminotransferase (ALT)","SITE_AVE",0,48.4280776481252,"NA",74.7494969719075
"alanine aminotransferase (ALT)","USA",0,41.4606656098282,"951",56.9179798369687
"alanine aminotransferase (ALT)","ALL",7,68.2472194403202,"1239",163.717075980179
"alanine aminotransferase (ALT)","France",7,68.8744293193717,"191",99.4921383979342
"alanine aminotransferase (ALT)","Germany",7,45.8444444444444,"45",42.5947903107429
"alanine aminotransferase (ALT)","Italy",7,74.8190553760424,"614",196.6387061312
"alanine aminotransferase (ALT)","SITE_AVE",7,68.2472194403202,"NA",140.099927593407
"alanine aminotransferase (ALT)","USA",7,60.1578120454156,"389",138.516732829592
"albumin","ALL",0,3.55030794579063,"1046",0.608976125923042
"albumin","France",0,3.14102285714286,"70",0.62908065925348
"albumin","Germany",0,2.85960317460317,"63",0.699139817407918
"albumin","Italy",0,3.44016260145122,"246",0.420838907112026
"albumin","SITE_AVE",0,3.55030794579063,"NA",0.522332237158824
"albumin","USA",0,3.69912370515742,"667",0.583816121966134
"albumin","ALL",7,2.95794072484142,"515",0.640618745209334
"albumin","France",7,2.33284285714286,"28",0.557343262091631
"albumin","Germany",7,2.52,"29",0.736430149491021
"albumin","Italy",7,3.08271739108696,"184",0.450984674541931
"albumin","SITE_AVE",7,2.95794072484142,"NA",0.558475637829224
"albumin","USA",7,2.98437909975669,"274",0.691630766268319
"aspartate aminotransferase (AST)","ALL",0,67.3476468525865,"2928",146.983422338043
"aspartate aminotransferase (AST)","France",0,64.3604583333333,"768",115.269352571878
"aspartate aminotransferase (AST)","Germany",0,66.0633495145631,"103",78.3903294002383
"aspartate aminotransferase (AST)","Italy",0,79.5279927985598,"1111",207.15497388943
"aspartate aminotransferase (AST)","SITE_AVE",0,67.3476468525865,"NA",127.432054069308
"aspartate aminotransferase (AST)","USA",0,55.6077727115997,"946",68.8643261384421
"aspartate aminotransferase (AST)","ALL",7,73.9027288443666,"1142",169.228208101375
"aspartate aminotransferase (AST)","France",7,72.6071832460733,"191",62.9262850392002
"aspartate aminotransferase (AST)","Germany",7,51.8260869565218,"46",37.5288322628681
"aspartate aminotransferase (AST)","Italy",7,76.2636718742187,"512",226.710262317577
"aspartate aminotransferase (AST)","SITE_AVE",7,73.9027288443666,"NA",145.498345323731
"aspartate aminotransferase (AST)","USA",7,74.040570841391,"393",119.20977008331
"total bilirubin","ALL",0,0.696882622607383,"2561",1.25351051064464
"total bilirubin","France",0,0.648722453775017,"805",1.10627849457793
"total bilirubin","Germany",0,0.840454192546584,"92",0.916246757755374
"total bilirubin","Italy",0,0.817672035058565,"683",1.78890766911385
"total bilirubin","SITE_AVE",0,0.696882622607383,"NA",1.07322696074082
"total bilirubin","USA",0,0.638841014831125,"981",0.882114296001802
"total bilirubin","ALL",7,0.84214610919657,"1066",1.59488682165222
"total bilirubin","France",7,0.776186351062843,"189",0.822940330190704
"total bilirubin","Germany",7,1.02514285714285,"35",1.19025299196177
"total bilirubin","Italy",7,0.993525345751152,"434",2.06522992617769
"total bilirubin","SITE_AVE",7,0.84214610919657,"NA",1.30447676231596
"total bilirubin","USA",7,0.695976794109477,"408",1.27924019625897
"C-reactive protein (CRP)","ALL",0,104.03889666545,"2714",95.6288585294503
"C-reactive protein (CRP)","France",0,88.8938207681365,"703",85.4315744720039
"C-reactive protein (CRP)","Germany",0,101.003869679995,"167",100.246219595149
"C-reactive protein (CRP)","Italy",0,109.64962251348,"1457",91.9993552462597
"C-reactive protein (CRP)","SITE_AVE",0,104.03889666545,"NA",89.5358756926927
"C-reactive protein (CRP)","USA",0,111.736597703704,"387",118.968896200231
"C-reactive protein (CRP)","ALL",7,112.944708278806,"1056",99.2679257382235
"C-reactive protein (CRP)","France",7,95.6962222222222,"135",93.1536391285415
"C-reactive protein (CRP)","Germany",7,105.326259106747,"77",87.3961164835667
"C-reactive protein (CRP)","Italy",7,116.764679569598,"671",103.76556005632
"C-reactive protein (CRP)","SITE_AVE",7,112.944708278806,"NA",96.871698512856
"C-reactive protein (CRP)","USA",7,114.979190751445,"173",89.6887183116664
"creatinine","ALL",0,1.29687046466678,"4182",1.46578170399799
"creatinine","France",0,1.38762247388698,"1330",1.64292835874328
"creatinine","Germany",0,1.34089084771193,"172",1.30935417299945
"creatinine","Italy",0,1.17497275190872,"1468",1.13192281685913
"creatinine","SITE_AVE",0,1.29687046466678,"NA",1.39144629493447
"creatinine","USA",0,1.33868083115374,"1212",1.62243640707737
"creatinine","ALL",7,1.34990797843396,"1630",1.47110032695815
"creatinine","France",7,1.47567536927711,"332",1.47159386845139
"creatinine","Germany",7,1.85639568764568,"78",1.69590801565922
"creatinine","Italy",7,1.09719883880116,"689",1.10475602350787
"creatinine","SITE_AVE",7,1.34990797843396,"NA",1.40047704235094
"creatinine","USA",7,1.52477762462712,"531",1.77078732738315
"lactate dehydrogenase (LDH)","ALL",0,431.063259695614,"2009",325.125461775866
"lactate dehydrogenase (LDH)","France",0,453.172901678657,"417",500.759657038465
"lactate dehydrogenase (LDH)","Germany",0,393.523486901535,"123",184.212151558927
"lactate dehydrogenase (LDH)","Italy",0,450.386544671475,"929",263.265590898208
"lactate dehydrogenase (LDH)","SITE_AVE",0,431.063259695614,"NA",297.837307843138
"lactate dehydrogenase (LDH)","USA",0,389.297221925556,"540",264.883453769858
"lactate dehydrogenase (LDH)","ALL",7,401.778006555635,"867",200.416106005284
"lactate dehydrogenase (LDH)","France",7,438.494357894737,"95",252.497726177077
"lactate dehydrogenase (LDH)","Germany",7,366.796063422635,"59",167.801095680805
"lactate dehydrogenase (LDH)","Italy",7,404.404821804612,"477",187.403784940439
