siteid,loinc,days_since_positive,num_patients,mean_value,stdev_val,unmasked_sites_num_patients,masked_sites_num_patients,masked_upper_bound_num_patients
France,1920-8,22,5,48,20.02,1,0,0
France,1920-8,23,5,47,23.9713468280362,2,0,0
France,1920-8,24,0,-1,-1,0,1,3
France,1920-8,25,1,26,0,1,1,3
France,1920-8,26,0,-1,-1,0,1,3
France,1920-8,27,0,-1,-1,0,1,3
France,1920-8,28,0,-1,-1,0,1,3
France,1975-2,-6,27,0.950626848602989,2.15882747600411,2,0,0
France,1975-2,-5,28,1.54994257309942,2.4260716200448,2,0,0
France,1975-2,-4,26,1.30886893117409,2.7505772346922,2,0,0
France,1975-2,-3,29,1.47025913772938,3.60747471992716,2,0,0
France,1975-2,-2,30,1.21851263376218,3.20966648538776,2,0,0
France,1975-2,-1,55,1.06298204784689,2.53040861406957,2,0,0
France,1975-2,0,144,0.86786040734243,2.2395334589981,2,0,0
France,1975-2,1,805,0.648722453775017,1.10627849457793,2,0,0
France,1975-2,2,296,0.768498198040145,1.72779306442705,2,0,0
France,1975-2,3,259,0.745207727318296,1.43780230164624,2,0,0
France,1975-2,4,204,0.760443786538241,1.51265765428684,2,0,0
France,1975-2,5,173,0.714507780062874,0.809300605966639,2,0,0
France,1975-2,6,177,0.803038513232233,0.858301537473246,2,0,0
France,1975-2,7,143,0.786562255036192,0.83956463907841,2,0,0
France,1975-2,8,124,0.735244260894171,0.688756911916719,2,0,0
France,1975-2,9,98,0.958285542427498,0.851873452630214,2,0,0
France,1975-2,10,82,0.954255898217088,0.885909227978235,2,0,0
France,1975-2,11,56,0.947274641938179,1.01473942521775,2,0,0
France,1975-2,12,54,1.33638258349578,2.28917197922487,2,0,0
France,1975-2,13,46,1.42313794070684,2.84232297477933,2,0,0
France,1975-2,14,44,1.12029853492823,2.94328318071776,2,0,0
France,1975-2,15,19,0.687236581840566,0.540598570344672,2,0,0
France,1975-2,16,19,0.592159601354263,0.331862643794963,2,0,0
France,1975-2,17,11,0.706893056884636,0.535922372534311,2,0,0
France,1975-2,18,13,0.511832526135852,0.163510295907761,2,0,0
France,1975-2,19,9,0.542153328654971,0.372667242387562,2,0,0
France,1975-2,20,0,-1,-1,0,1,3
France,1975-2,21,6,0.5158472,0.2483752,1,0,0
France,1975-2,22,5,0.485888,0.174908,1,0,0
France,1975-2,23,5,0.525727251461988,0.202928169083404,2,0,0
France,1975-2,24,0,-1,-1,0,1,3
France,1975-2,25,1,0.350877192982456,0,1,1,3
France,1975-2,26,0,-1,-1,0,1,3
France,1975-2,27,0,-1,-1,0,1,3
France,1975-2,28,0,-1,-1,0,1,3
France,1988-5,-6,31,59.5223225806452,65.3398312983164,2,0,0
France,1988-5,-5,41,72.9589268292683,67.7534602306001,2,0,0
France,1988-5,-4,35,63.2199428571429,69.5980136335222,2,0,0
France,1988-5,-3,51,67.7585882352941,73.4114844393372,2,0,0
France,1988-5,-2,40,77.98475,72.819151990411,2,0,0
France,1988-5,-1,62,73.0966935483871,71.6998965288571,2,0,0
France,1988-5,0,139,72.9341726618706,80.8455073616598,2,0,0
France,1988-5,1,703,88.8938207681366,85.4315744720039,2,0,0
France,1988-5,2,210,110.652657142857,86.9804936454177,2,0,0
France,1988-5,3,190,94.2934210526316,87.7852226985526,2,0,0
France,1988-5,4,186,91.4865268817204,73.3183305428906,2,0,0
France,1988-5,5,135,95.6962222222222,93.1536391285415,2,0,0
France,1988-5,6,118,81.6310338983051,79.9574894670861,2,0,0
France,1988-5,7,105,76.7216190476191,82.3210276118138,2,0,0
France,1988-5,8,89,76.9676404494382,74.8244621999091,2,0,0
France,1988-5,9,54,66.6035925925926,73.291006612827,2,0,0
France,1988-5,10,52,75.8229230769231,89.7961623643601,2,0,0
France,1988-5,11,39,72.374358974359,81.0110837845457,2,0,0
France,1988-5,12,36,88.5808888888889,113.46597185142,2,0,0
France,1988-5,13,25,105.38384,101.204488039349,2,0,0
France,1988-5,14,25,72.924,89.5538469337024,2,0,0
France,1988-5,15,10,76.9596,101.083366811426,2,0,0
France,1988-5,16,12,46.925,59.5243452569847,2,0,0
France,1988-5,17,9,81.8777777777778,87.9572853886729,2,0,0
France,1988-5,18,7,26.3571428571429,16.8847077304541,2,0,0
France,1988-5,19,5,11.62,9.31037093783056,2,0,0
France,1988-5,20,0,-1,-1,0,1,3
France,1988-5,21,0,-1,-1,0,1,3
France,1988-5,23,0,-1,-1,0,1,3
France,1988-5,24,0,-1,-1,0,1,3
France,1988-5,25,1,7.2,0,1,0,0
France,2160-0,-6,55,1.38356920942822,1.23622273029273,2,0,0
France,2160-0,-5,63,1.30782484843784,1.25501228690144,2,0,0
France,2160-0,-4,58,1.53632027385708,1.7189786944255,2,0,0
France,2160-0,-3,72,1.33717876021242,1.28164862807553,2,0,0
France,2160-0,-2,67,1.32708162009185,1.22951709779671,2,0,0
France,2160-0,-1,111,1.33937673423831,1.33802021413011,2,0,0
France,2160-0,0,296,1.4012451045524,1.76187454982152,2,0,0
France,2160-0,1,1330,1.38762247388698,1.64292835874328,2,0,0
France,2160-0,2,498,1.49749231076342,1.97309109669503,2,0,0
France,2160-0,3,441,1.39275517475298,1.52307903667875,2,0,0
France,2160-0,4,424,1.37739752103432,1.37434407254152,2,0,0
France,2160-0,5,332,1.47567536927711,1.47159386845139,2,0,0
France,2160-0,6,315,1.54040033116426,1.84974512725422,2,0,0
France,2160-0,7,265,1.49873002965082,1.60967233711932,2,0,0
France,2160-0,8,234,1.86360448224272,2.44897860255174,2,0,0
France,2160-0,9,175,1.66014068037233,1.58402498098986,2,0,0
France,2160-0,10,148,1.8453136216736,1.98039861481658,2,0,0
France,2160-0,11,119,1.79949021451006,2.14500708305298,2,0,0
France,2160-0,12,107,1.73620285197277,1.70378076137057,2,0,0
France,2160-0,13,81,1.74818443480811,1.62076287023355,2,0,0
France,2160-0,14,74,1.73741747716767,1.5144033585835,2,0,0
France,2160-0,15,48,2.21543635680618,1.59579305433122,2,0,0
France,2160-0,16,43,1.99069270756603,1.78781794410977,2,0,0
France,2160-0,17,28,2.00495499789916,1.53410536458633,2,0,0
France,2160-0,18,27,1.99756108280543,1.69093287088124,2,0,0
France,2160-0,19,24,2.39180740950226,2.18883450901259,2,0,0
France,2160-0,20,13,3.06339008005569,2.06189134447599,2,0,0
France,2160-0,21,14,2.27712479340659,1.58763085203403,2,0,0
France,2160-0,22,10,2.95519190045249,1.69004549187093,2,0,0
France,2160-0,23,6,3.37305,2.1646732,1,0,0
France,2160-0,24,8,3.13575,2.0014899,1,0,0
France,2160-0,25,5,3.08282570135747,1.57902788925676,2,0,0
France,2160-0,26,5,3.22954,0.838008,1,0,0
France,2160-0,27,0,-1,-1,0,1,3
France,2160-0,28,0,-1,-1,0,1,3
France,2532-0,-6,0,-1,-1,0,1,3
France,2532-0,-5,16,329.874875,304.506873648281,2,0,0
France,2532-0,-4,1,350,0,1,1,3
France,2532-0,-3,4,248.5,55.274,1,0,0
France,2532-0,-2,10,378.8002,180.225180481283,2,0,0
France,2532-0,-1,19,481.105263157895,176.579350234405,2,0,0
France,2532-0,0,60,482.683166666667,316.891283538054,2,0,0
France,2532-0,1,417,453.172901678657,500.759657038465,2,0,0
France,2532-0,2,155,451.941883870968,283.289568095428,2,0,0
France,2532-0,3,159,474.899578616352,614.488496662343,2,0,0
France,2532-0,4,113,498.389486725664,337.598561775011,2,0,0
France,2532-0,5,95,438.494357894737,252.497726177077,2,0,0
France,2532-0,6,85,440.270870588235,187.966184987251,2,0,0
France,2532-0,7,82,436.950926829268,205.204930416111,2,0,0
France,2532-0,8,71,472.014225352113,185.144623590872,2,0,0
France,2532-0,9,44,518.454545454546,233.375717207299,2,0,0
France,2532-0,10,38,492.76302631579,261.824412135875,2,0,0
France,2532-0,11,33,500.72696969697,258.639582166898,2,0,0
France,2532-0,12,26,503.730769230769,287.124587439572,2,0,0
France,2532-0,13,16,499.25,290.7,1,0,0
France,2532-0,14,20,504.1503,293.438201896538,2,0,0
France,2532-0,15,11,642.182,404.449,1,0,0
France,2532-0,16,9,479.777555555556,132.798750993854,2,0,0
France,2532-0,17,9,437.222,159.854,1,0,0
France,2532-0,18,8,443.749625,146.644287034927,2,0,0
France,2532-0,19,0,-1,-1,0,1,3
France,2532-0,20,0,-1,-1,0,1,3
France,2532-0,21,0,-1,-1,0,1,3
France,2532-0,22,4,417.5,93.9399999999999,1,0,0
France,2532-0,23,0,-1,-1,0,1,3
France,2532-0,24,4,388,82.4410000000001,1,0,0
France,2532-0,25,0,-1,-1,0,1,3
France,2532-0,26,0,-1,-1,0,1,3
France,2532-0,27,0,-1,-1,0,1,3
France,2532-0,28,0,-1,-1,0,1,3
France,33959-8,-6,1,3.31,0,1,1,3
France,33959-8,-5,5,5.27,9.31025223879568,2,0,0
France,33959-8,-4,6,3.07333333333333,5.90467274848206,2,0,0
France,33959-8,-3,8,5.13375,13.8709155712849,2,0,0
France,33959-8,-2,7,3.50142857142857,8.51606190006356,2,0,0
France,33959-8,-1,12,1.99,4.27678925873561,2,0,0
France,33959-8,0,59,7.71896610169492,28.0257732201101,2,0,0
France,33959-8,1,544,2.42020220588235,9.80743498621129,2,0,0
France,33959-8,2,173,4.18566473988439,11.0853528485332,2,0,0
France,33959-8,3,148,2.72768918918919,8.17735001929804,2,0,0
France,33959-8,4,108,3.17272222222222,8.39416449487251,2,0,0
France,33959-8,5,72,2.09983333333333,5.05654937317735,2,0,0
France,33959-8,6,66,2.05601515151515,3.70678509054129,2,0,0
France,33959-8,7,62,1.0403064516129,2.05975906269426,2,0,0
France,33959-8,8,40,1.6493,2.01066360011328,2,0,0
France,33959-8,9,26,3.69769230769231,8.38112990363104,2,0,0
France,33959-8,10,24,4.63320833333333,8.51549614056207,2,0,0
France,33959-8,11,22,1.082,1.556,1,0,0
France,33959-8,12,24,3.53108333333333,6.00559608174754,2,0,0
France,33959-8,13,13,2.53338461538462,6.85157968450174,2,0,0
France,33959-8,14,11,3.74363636363636,7.95576564854354,2,0,0
France,33959-8,15,0,-1,-1,0,1,3
France,33959-8,16,9,4.75688888888889,7.25329019212048,2,0,0
France,33959-8,17,7,2.35828571428571,3.8539150749286,2,0,0
France,33959-8,18,1,0.1,0,1,1,3
France,33959-8,22,0,-1,-1,0,1,3
France,49563-0,-6,4,0.09975,0.157027333077185,1,0,0
France,49563-0,-5,2,0.022,0.0183847763108502,1,0,0
France,49563-0,-4,3,0.014,0.002,1,0,0
France,49563-0,-3,6,0.19,0.415077824028218,1,0,0
France,49563-0,-2,7,0.154,0.324919990151422,1,0,0
France,49563-0,-1,8,0.407375,1.10594845365544,1,0,0
France,49563-0,0,10,0.1752,0.480355377703726,1,0,0
France,49563-0,1,81,0.121061728395062,0.466959027797917,1,0,0
France,49563-0,2,40,0.1478,0.495637284663612,1,0,0
France,49563-0,3,21,0.08,0.164274769821784,1,0,0
France,49563-0,4,16,0.127875,0.2304794640165,1,0,0
France,49563-0,5,16,0.0324375,0.0360517567764272,1,0,0
France,49563-0,6,13,0.0286153846153846,0.0339449025666065,1,0,0
France,49563-0,7,13,0.0923846153846154,0.149540707089819,1,0,0
France,49563-0,8,12,0.05925,0.0732407300991364,1,0,0
France,49563-0,9,9,0.107,0.135631854665488,1,0,0
France,49563-0,10,5,0.025,0.0249299017246358,1,0,0
France,49563-0,11,4,0.0965,0.127385242473373,1,0,0
France,49563-0,12,3,0.133666666666667,0.200761882172222,1,0,0
France,49563-0,13,2,0.0175,0.0176776695296637,1,0,0
France,49563-0,14,2,0.018,0.0113137084989848,1,0,0
France,49563-0,15,1,0.005,0,1,0,0
France,49563-0,16,2,0.007,0.0014142135623731,1,0,0
France,49563-0,17,1,0.005,0,1,0,0
France,49563-0,18,1,0.016,0,1,0,0
France,49563-0,19,1,0.005,0,1,0,0
France,49563-0,22,1,0.008,0,1,0,0
France,5902-2,-6,10,13.8702,1.07982270149625,2,0,0
France,5902-2,-5,11,14.0727272727273,1.37980524646842,2,0,0
France,5902-2,-4,17,17.0821764705882,4.46345891987501,2,0,0
France,5902-2,-3,18,14.7555555555556,2.53368447643817,2,0,0
France,5902-2,-2,20,15.56975,2.69131482003245,2,0,0
France,5902-2,-1,34,16.1231764705882,5.31559314499012,2,0,0
France,5902-2,0,94,14.6758510638298,4.57642450695978,2,0,0
France,5902-2,1,640,14.1639578125,3.14142704229579,2,0,0
France,5902-2,2,159,14.5779245283019,2.3665007028409,2,0,0
France,5902-2,3,153,14.8406535947712,2.74552083382202,2,0,0
France,5902-2,4,125,14.59084,2.32051551002316,2,0,0
France,5902-2,5,95,14.4438631578947,1.41114127352332,2,0,0
France,5902-2,6,105,15.0807238095238,1.90751085537409,2,0,0
France,5902-2,7,87,14.7135057471264,1.70868253255529,2,0,0
France,5902-2,8,74,15.1026216216216,2.82041346771021,2,0,0
France,5902-2,9,65,14.365,1.74325223182132,2,0,0
France,5902-2,10,50,14.65224,1.54889620421402,2,0,0
France,5902-2,11,31,14.7287096774194,1.59848390031614,2,0,0
France,5902-2,12,34,15.3321176470588,2.07013779756112,2,0,0
France,5902-2,13,39,15.315641025641,1.78778793760658,2,0,0
France,5902-2,14,16,15.32525,2.24684231756481,2,0,0
France,5902-2,15,18,15.3168888888889,1.73195166652059,2,0,0
France,5902-2,16,10,15.0399,0.60095931642662,2,0,0
France,5902-2,17,9,15.5328888888889,0.817072815672626,2,0,0
France,5902-2,18,7,15.0428571428571,1.72146250114755,2,0,0
France,5902-2,19,1,14,0,1,1,3
France,5902-2,20,1,15,0,1,1,3
France,5902-2,21,0,-1,-1,0,1,3
France,5902-2,22,0,-1,-1,0,1,3
France,5902-2,23,0,-1,-1,0,1,3
France,5902-2,24,0,-1,-1,0,1,3
France,5902-2,25,0,-1,-1,0,1,3
France,5902-2,26,0,-1,-1,0,1,3
France,5902-2,27,0,-1,-1,0,1,3
France,5902-2,28,0,-1,-1,0,1,3
France,6690-2,-6,15,7.1222,3.97662023043977,2,0,0
France,6690-2,-5,7,6.47857142857143,2.45240309744971,1,1,3
France,6690-2,-4,19,8.31852631578948,5.58423946744985,2,0,0
France,6690-2,-3,19,8.54073684210526,3.66604996089653,2,0,0
France,6690-2,-2,20,6.27765,4.12187631361457,2,0,0
France,6690-2,-1,29,6.72275862068965,4.1106357707361,2,0,0
France,6690-2,0,76,7.30789473684211,3.93275409377516,2,0,0
France,6690-2,1,309,6.77891585760518,3.60316540030956,2,0,0
France,6690-2,2,158,6.94265189873418,3.53222346013403,2,0,0
France,6690-2,3,149,7.13573154362416,3.77350199494085,2,0,0
France,6690-2,4,127,6.94300787401575,3.70964333949865,2,0,0
France,6690-2,5,99,7.07975757575758,3.82901964085046,2,0,0
France,6690-2,6,99,8.20486868686869,4.23937854308394,2,0,0
France,6690-2,7,81,7.82583950617284,3.80114862724673,2,0,0
France,6690-2,8,75,7.97158666666667,3.71705626077489,2,0,0
France,6690-2,9,68,8.16720588235294,4.00839015237991,2,0,0
France,6690-2,10,52,9.05105769230769,5.15384179344889,2,0,0
France,6690-2,11,44,9.59145454545455,5.4639300382602,2,0,0
France,6690-2,12,38,9.76607894736842,5.61673851876634,2,0,0
France,6690-2,13,28,8.85228571428572,4.42836892351477,2,0,0
France,6690-2,14,21,9.70419047619048,5.34609376198218,2,0,0
France,6690-2,15,9,9.46555555555556,5.66612105216415,1,1,3
France,6690-2,16,8,14.98875,5.08891073806566,1,1,3
France,6690-2,17,6,10.9666666666667,4.66547603859099,1,1,3
France,6690-2,18,8,11.0025,3.33330273795483,1,0,0
France,6690-2,19,4,11.425,4.08931534611847,1,1,3
France,6690-2,20,2,11.05,2.33345237791561,1,0,0
France,6690-2,21,2,12.85,5.44472221513642,1,1,3
France,6690-2,22,2,12.45,3.88908729652601,1,0,0
France,6690-2,25,1,4.9,0,1,0,0
France,731-0,-6,7,0.97,0.448590384798129,1,1,3
France,731-0,-5,3,1.53,1.43090880212542,1,1,3
France,731-0,-4,12,0.965833333333333,0.629436376066042,1,1,3
France,731-0,-3,14,1.76442857142857,1.42297071240122,2,0,0
France,731-0,-2,6,0.765,0.413702791868752,1,1,3
France,731-0,-1,20,0.88255,0.640071416656807,2,0,0
France,731-0,0,51,1.40107843137255,1.12054732774903,2,0,0
France,731-0,1,257,1.18642412451362,1.27804825681955,2,0,0
France,731-0,2,63,1.2438253968254,1.00222580579239,2,0,0
France,731-0,3,63,1.1284126984127,0.737649462928517,2,0,0
France,731-0,4,54,1.18061111111111,0.973154187334692,2,0,0
France,731-0,5,36,0.858444444444444,0.579698441036098,2,0,0
France,731-0,6,31,0.848903225806452,0.555823794311273,2,0,0
France,731-0,7,30,1.0616,0.718356294269941,2,0,0
France,731-0,8,27,0.832592592592592,0.615299317984549,2,0,0
France,731-0,9,23,1.18813043478261,0.554892397787651,2,0,0
France,731-0,10,15,0.962,0.613560801504511,2,0,0
France,731-0,11,5,1.09,0.361593694635291,1,1,3
France,731-0,12,7,0.888571428571429,0.479424257883995,1,1,3
France,731-0,13,8,1.655,0.788307409218366,1,1,3
France,731-0,14,7,1.29714285714286,0.570984946845195,1,1,3
France,731-0,15,2,1.795,0.21920310216783,1,0,0
France,731-0,16,3,1.11333333333333,0.283078316607495,1,1,3
France,731-0,17,1,0.86,0,1,0,0
France,731-0,18,5,1.834,0.55536474500998,1,0,0
France,731-0,21,0,-1,-1,0,1,3
France,731-0,25,1,1.47,0,1,0,0
France,751-8,-6,14,5.1155,3.59107322183987,2,0,0
France,751-8,-5,3,3.71666666666667,1.87500222222091,1,1,3
France,751-8,-4,17,5.76294117647059,4.31226817450209,2,0,0
France,751-8,-3,15,5.45733333333333,3.58260109351266,2,0,0
France,751-8,-2,12,3.645,2.73357167290508,2,0,0
France,751-8,-1,24,4.54220833333333,3.17895191887771,2,0,0
France,751-8,0,66,5.04030303030303,3.03333503675764,2,0,0
France,751-8,1,291,4.91815120274914,3.06604238299151,2,0,0
France,751-8,2,118,5.10889830508475,3.14291380371845,2,0,0
France,751-8,3,99,5.43537373737374,3.81704392003373,2,0,0
France,751-8,4,86,4.91908139534884,3.2353248194601,2,0,0
France,751-8,5,62,5.16648387096774,3.80235090024422,2,0,0
France,751-8,6,60,7.0961,4.34385398941492,2,0,0
France,751-8,7,52,5.53876923076923,3.36450520859197,2,0,0
France,751-8,8,49,6.09240816326531,2.75695866489361,2,0,0
France,751-8,9,44,5.74754545454546,2.98893879398105,2,0,0
France,751-8,10,29,7.26272413793104,4.77584250530396,2,0,0
France,751-8,11,24,7.69570833333333,4.18668301288291,2,0,0
France,751-8,12,24,6.21304166666667,4.27141423967333,2,0,0
France,751-8,13,20,6.4643,4.40591318690306,2,0,0
France,751-8,14,11,7.11436363636364,3.25913045988427,2,0,0
France,751-8,15,2,4.5,1.01823376490863,1,1,3
France,751-8,16,3,9.32666666666667,4.02399469847232,1,1,3
France,751-8,17,1,2.67,0,1,1,3
France,751-8,18,5,7.082,3.02680029073608,1,0,0
