"Lab","days_since_positive","France-01","France-02","Germany-02","Germany-01","Germany-03","Italy-01","Italy-03","Italy-02","USA-03","USA-08","USA-11","USA-01","USA-04","USA-07","USA-06","USA-02","USA-10","USA-05","USA-09","USA-12","France","Germany","Italy","US"
"prothrombin time (PT)","5",0.180451127819549,0.140039447731755,0.511904761904762,NA,0.552941176470588,NA,0.462235649546828,NA,0.36046511627907,0.43312101910828,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1484375,0.489130434782609,0.451327433628319,0.33
"prothrombin time (PT)","6",0.157894736842105,0.165680473372781,0.547619047619048,NA,0.470588235294118,NA,0.45619335347432,NA,0.302325581395349,0.407643312101911,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1640625,0.467391304347826,0.445427728613569,0.3
"prothrombin time (PT)","7",0.120300751879699,0.140039447731755,0.44047619047619,NA,0.529411764705882,NA,0.377643504531722,NA,0.313953488372093,0.35031847133758,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1359375,0.445652173913043,0.368731563421829,0.273333333333333
"prothrombin time (PT)","8",0.0902255639097744,0.122287968441815,0.404761904761905,NA,0.482352941176471,NA,0.338368580060423,NA,0.244186046511628,0.254777070063694,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.115625,0.407608695652174,0.330383480825959,0.203333333333333
"prothrombin time (PT)","9",0.075187969924812,0.108481262327416,0.357142857142857,NA,0.376470588235294,NA,0.356495468277946,NA,0.197674418604651,0.178343949044586,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1015625,0.33695652173913,0.348082595870206,0.15
"prothrombin time (PT)","10",0.0676691729323308,0.0808678500986193,0.273809523809524,NA,0.364705882352941,NA,0.362537764350453,NA,0.174418604651163,0.140127388535032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.078125,0.293478260869565,0.353982300884956,0.123333333333333
"prothrombin time (PT)","11",0.037593984962406,0.0512820512820513,0.30952380952381,NA,0.247058823529412,NA,0.290030211480363,NA,NA,0.089171974522293,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0484375,0.255434782608696,0.283185840707965,0.0466666666666667
"prothrombin time (PT)","12",0.075187969924812,0.0473372781065089,0.261904761904762,NA,0.211764705882353,NA,0.250755287009063,NA,NA,0.0955414012738854,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.053125,0.217391304347826,0.244837758112094,0.05
"prothrombin time (PT)","13",0.037593984962406,0.0670611439842209,0.202380952380952,NA,0.294117647058824,NA,0.211480362537764,NA,NA,0.0764331210191083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0609375,0.228260869565217,0.206489675516224,0.04
"prothrombin time (PT)","14",0.0300751879699248,0.0236686390532544,0.130952380952381,NA,0.223529411764706,NA,0.190332326283988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.025,0.16304347826087,0.185840707964602,0
"prothrombin time (PT)","15",0.0526315789473684,0.0216962524654832,0.0952380952380952,NA,0.188235294117647,NA,0.178247734138973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.028125,0.130434782608696,0.174041297935103,0
"prothrombin time (PT)","16",0.0075187969924812,0.0177514792899408,0.0952380952380952,NA,0.141176470588235,NA,0.141993957703928,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.015625,0.108695652173913,0.138643067846608,0
"white blood cell count (Leukocytes)","n_max",184,125,83,9,0,19,504,992,131,416,42,0,38,51,0,0,0,0,14,16,309,92,1515,708
"white blood cell count (Leukocytes)","0",0.130434782608696,0.416,0.686746987951807,NA,NA,NA,0.186507936507937,0.72883064516129,0.908396946564885,0.129807692307692,0.880952380952381,NA,NA,0.470588235294118,NA,NA,NA,NA,NA,NA,0.245954692556634,0.619565217391304,0.539273927392739,0.330508474576271
"white blood cell count (Leukocytes)","1",1,1,1,NA,NA,NA,1,1,1,1,0.880952380952381,NA,1,1,NA,NA,NA,NA,NA,NA,1,0.902173913043478,0.987458745874587,0.950564971751412
"white blood cell count (Leukocytes)","2",0.407608695652174,0.664,0.879518072289157,NA,NA,NA,0.511904761904762,0.636088709677419,0.916030534351145,0.733173076923077,1,NA,0.815789473684211,0.117647058823529,NA,NA,NA,NA,NA,NA,0.511326860841424,0.793478260869565,0.586798679867987,0.711864406779661
